timetable_id,class,section,day,period,start_time,end_time,subject,teacher_id,teacher_name,room_id,is_lab,academic_year
TT000033,1,A,Friday,1,07:30,08:10,Mathematics,TCH0025,Darsh Patel,Room-302,0,2025-26
TT000034,1,A,Friday,2,08:10,08:50,Hindi,TCH0004,Rohan Sinha,Room-105,0,2025-26
TT000035,1,A,Friday,3,08:50,09:30,English,TCH0070,Khushi Sinha,Room-302,0,2025-26
TT000036,1,A,Friday,4,09:45,10:25,Physical Education,TCH0048,Kavya Sen,Room-310,0,2025-26
TT000037,1,A,Friday,5,10:25,11:05,Science,TCH0064,Zara Reddy,Room-303,0,2025-26
TT000038,1,A,Friday,6,11:05,11:45,Hindi,TCH0066,Nikhil Shah,Room-309,0,2025-26
TT000039,1,A,Friday,7,12:00,12:40,Science,TCH0061,Gauri Chauhan,Room-305,0,2025-26
TT000040,1,A,Friday,8,12:40,13:20,Science,TCH0038,Kavya Thakur,Room-304,0,2025-26
TT000041,1,A,Saturday,1,07:30,08:10,Science,TCH0037,Dev Rao,Room-310,0,2025-26
TT000042,1,A,Saturday,2,08:10,08:50,Social Studies,TCH0006,Jiya Bhandari,Room-314,0,2025-26
TT000043,1,A,Saturday,3,08:50,09:30,Physical Education,TCH0077,Siya Ghosh,Room-205,0,2025-26
TT000044,1,A,Saturday,4,09:45,10:25,Social Studies,TCH0079,Ishaan Chauhan,Room-112,0,2025-26
TT000045,1,A,Saturday,5,10:25,11:05,Physical Education,TCH0048,Kavya Sen,Room-207,0,2025-26
TT000046,1,A,Saturday,6,11:05,11:45,Physical Education,TCH0077,Siya Ghosh,Room-G03,0,2025-26
TT000047,1,A,Saturday,7,12:00,12:40,Science,TCH0069,Isha Bhat,Room-309,0,2025-26
TT000048,1,A,Saturday,8,12:40,13:20,Science,TCH0037,Dev Rao,Room-112,0,2025-26
TT000049,1,B,Monday,1,07:30,08:10,English,TCH0070,Khushi Sinha,Room-G11,0,2025-26
TT000050,1,B,Monday,2,08:10,08:50,English,TCH0070,Khushi Sinha,Room-114,0,2025-26
TT000051,1,B,Monday,3,08:50,09:30,Hindi,TCH0063,Dhruv Mehta,Room-306,0,2025-26
TT000052,1,B,Monday,4,09:45,10:25,Computer Science,TCH0041,Vihaan Bhandari,Room-306,0,2025-26
TT000053,1,B,Monday,5,10:25,11:05,Hindi,TCH0015,Parth Chatterjee,Room-113,0,2025-26
TT000054,1,B,Monday,6,11:05,11:45,English,TCH0070,Khushi Sinha,Room-G09,0,2025-26
TT000055,1,B,Monday,7,12:00,12:40,Social Studies,TCH0079,Ishaan Chauhan,Room-201,0,2025-26
TT000056,1,B,Monday,8,12:40,13:20,Physical Education,TCH0048,Kavya Sen,Room-210,0,2025-26
TT000057,1,B,Tuesday,1,07:30,08:10,Science,TCH0073,Sneha Bhosale,Room-112,0,2025-26
TT000058,1,B,Tuesday,2,08:10,08:50,Computer Science,TCH0041,Vihaan Bhandari,Room-201,0,2025-26
TT000059,1,B,Tuesday,3,08:50,09:30,Computer Science,TCH0024,Kabir Das,Room-G02,0,2025-26
TT000060,1,B,Tuesday,4,09:45,10:25,English,TCH0070,Khushi Sinha,Room-314,0,2025-26
TT000061,1,B,Tuesday,5,10:25,11:05,Mathematics,TCH0028,Gauri Deshpande,Room-G14,0,2025-26
TT000062,1,B,Tuesday,6,11:05,11:45,Social Studies,TCH0056,Siya Mukherjee,Room-307,0,2025-26
TT000063,1,B,Tuesday,7,12:00,12:40,English,TCH0070,Khushi Sinha,Room-215,0,2025-26
TT000064,1,B,Tuesday,8,12:40,13:20,English,TCH0070,Khushi Sinha,Room-G03,0,2025-26
TT000065,1,B,Wednesday,1,07:30,08:10,English,TCH0070,Khushi Sinha,Room-202,0,2025-26
TT000066,1,B,Wednesday,2,08:10,08:50,Mathematics,TCH0043,Divya Sharma,Room-307,0,2025-26
TT000067,1,B,Wednesday,3,08:50,09:30,English,TCH0070,Khushi Sinha,Room-103,0,2025-26
TT000068,1,B,Wednesday,4,09:45,10:25,Computer Science,TCH0041,Vihaan Bhandari,Room-108,0,2025-26
TT000069,1,B,Wednesday,5,10:25,11:05,Computer Science,TCH0024,Kabir Das,Room-108,1,2025-26
TT000070,1,B,Wednesday,6,11:05,11:45,English,TCH0070,Khushi Sinha,Room-301,0,2025-26
TT000071,1,B,Wednesday,7,12:00,12:40,Social Studies,TCH0006,Jiya Bhandari,Room-309,0,2025-26
TT000072,1,B,Wednesday,8,12:40,13:20,Computer Science,TCH0041,Vihaan Bhandari,Room-210,0,2025-26
TT000073,1,B,Thursday,1,07:30,08:10,Science,TCH0054,Yash Deshmukh,Room-312,0,2025-26
TT000074,1,B,Thursday,2,08:10,08:50,English,TCH0070,Khushi Sinha,Room-G03,0,2025-26
TT000075,1,B,Thursday,3,08:50,09:30,English,TCH0070,Khushi Sinha,Room-309,0,2025-26
TT000076,1,B,Thursday,4,09:45,10:25,Physical Education,TCH0048,Kavya Sen,Room-102,0,2025-26
TT000077,1,B,Thursday,5,10:25,11:05,Hindi,TCH0066,Nikhil Shah,Room-311,0,2025-26
TT000078,1,B,Thursday,6,11:05,11:45,Hindi,TCH0066,Nikhil Shah,Room-G10,0,2025-26
TT000079,1,B,Thursday,7,12:00,12:40,Physical Education,TCH0048,Kavya Sen,Room-108,0,2025-26
TT000080,1,B,Thursday,8,12:40,13:20,English,TCH0070,Khushi Sinha,Room-110,0,2025-26
TT000081,1,B,Friday,1,07:30,08:10,Science,TCH0077,Siya Ghosh,Room-G08,0,2025-26
TT000082,1,B,Friday,2,08:10,08:50,Hindi,TCH0015,Parth Chatterjee,Room-208,0,2025-26
TT000083,1,B,Friday,3,08:50,09:30,Mathematics,TCH0025,Darsh Patel,Room-115,0,2025-26
TT000084,1,B,Friday,4,09:45,10:25,Computer Science,TCH0057,Anika Bhosale,Room-106,1,2025-26
TT000085,1,B,Friday,5,10:25,11:05,Science,TCH0060,Trisha Pawar,Room-G03,0,2025-26
TT000086,1,B,Friday,6,11:05,11:45,Science,TCH0013,Avni Ghosh,Room-G14,0,2025-26
TT000087,1,B,Friday,7,12:00,12:40,Science,TCH0053,Siya Sharma,Room-315,0,2025-26
TT000088,1,B,Friday,8,12:40,13:20,Mathematics,TCH0028,Gauri Deshpande,Room-204,0,2025-26
TT000089,1,B,Saturday,1,07:30,08:10,Computer Science,TCH0057,Anika Bhosale,Room-314,0,2025-26
TT000090,1,B,Saturday,2,08:10,08:50,English,TCH0070,Khushi Sinha,Room-102,0,2025-26
TT000091,1,B,Saturday,3,08:50,09:30,Computer Science,TCH0057,Anika Bhosale,Room-207,1,2025-26
TT000092,1,B,Saturday,4,09:45,10:25,English,TCH0070,Khushi Sinha,Room-302,0,2025-26
TT000093,1,B,Saturday,5,10:25,11:05,Science,TCH0054,Yash Deshmukh,Room-G14,0,2025-26
TT000094,1,B,Saturday,6,11:05,11:45,Physical Education,TCH0077,Siya Ghosh,Room-G08,0,2025-26
TT000095,1,B,Saturday,7,12:00,12:40,Social Studies,TCH0036,Kartik Bhat,Room-G12,0,2025-26
TT000096,1,B,Saturday,8,12:40,13:20,Social Studies,TCH0079,Ishaan Chauhan,Room-G02,0,2025-26
TT000097,1,C,Monday,1,07:30,08:10,Mathematics,TCH0025,Darsh Patel,Room-307,0,2025-26
TT000098,1,C,Monday,2,08:10,08:50,Social Studies,TCH0006,Jiya Bhandari,Room-G14,0,2025-26
TT000099,1,C,Monday,3,08:50,09:30,Science,TCH0050,Aryan Singh,Room-214,0,2025-26
TT000100,1,C,Monday,4,09:45,10:25,Science,TCH0028,Gauri Deshpande,Room-314,0,2025-26
TT000101,1,C,Monday,5,10:25,11:05,Mathematics,TCH0025,Darsh Patel,Room-313,0,2025-26
TT000102,1,C,Monday,6,11:05,11:45,Science,TCH0064,Zara Reddy,Room-G03,0,2025-26
TT000103,1,C,Monday,7,12:00,12:40,Science,TCH0044,Siddharth Chatterjee,Room-208,0,2025-26
TT000104,1,C,Monday,8,12:40,13:20,Science,TCH0038,Kavya Thakur,Room-G05,0,2025-26
TT000105,1,C,Tuesday,1,07:30,08:10,Mathematics,TCH0025,Darsh Patel,Room-205,0,2025-26
TT000106,1,C,Tuesday,2,08:10,08:50,English,TCH0070,Khushi Sinha,Room-306,0,2025-26
TT000107,1,C,Tuesday,3,08:50,09:30,Social Studies,TCH0056,Siya Mukherjee,Room-G06,0,2025-26
TT000108,1,C,Tuesday,4,09:45,10:25,English,TCH0070,Khushi Sinha,Room-G14,0,2025-26
TT000109,1,C,Tuesday,5,10:25,11:05,Mathematics,TCH0026,Siya Malhotra,Room-G05,0,2025-26
TT000110,1,C,Tuesday,6,11:05,11:45,Social Studies,TCH0006,Jiya Bhandari,Room-114,0,2025-26
TT000111,1,C,Tuesday,7,12:00,12:40,Hindi,TCH0004,Rohan Sinha,Room-310,0,2025-26
TT000112,1,C,Tuesday,8,12:40,13:20,Social Studies,TCH0079,Ishaan Chauhan,Room-315,0,2025-26
TT000113,1,C,Wednesday,1,07:30,08:10,Computer Science,TCH0024,Kabir Das,Room-108,0,2025-26
TT000114,1,C,Wednesday,2,08:10,08:50,Hindi,TCH0066,Nikhil Shah,Room-G04,0,2025-26
TT000115,1,C,Wednesday,3,08:50,09:30,Computer Science,TCH0041,Vihaan Bhandari,Room-205,0,2025-26
TT000116,1,C,Wednesday,4,09:45,10:25,Mathematics,TCH0043,Divya Sharma,Room-G04,0,2025-26
TT000117,1,C,Wednesday,5,10:25,11:05,Computer Science,TCH0041,Vihaan Bhandari,Room-301,0,2025-26
TT000118,1,C,Wednesday,6,11:05,11:45,Science,TCH0052,Divya Verma,Room-G03,0,2025-26
TT000119,1,C,Wednesday,7,12:00,12:40,Physical Education,TCH0048,Kavya Sen,Room-103,0,2025-26
TT000120,1,C,Wednesday,8,12:40,13:20,Mathematics,TCH0025,Darsh Patel,Room-114,0,2025-26
TT000121,1,C,Thursday,1,07:30,08:10,Physical Education,TCH0048,Kavya Sen,Room-G05,0,2025-26
TT000122,1,C,Thursday,2,08:10,08:50,Science,TCH0060,Trisha Pawar,Room-310,0,2025-26
TT000123,1,C,Thursday,3,08:50,09:30,Science,TCH0059,Sara Pawar,Room-G04,0,2025-26
TT000124,1,C,Thursday,4,09:45,10:25,Social Studies,TCH0079,Ishaan Chauhan,Room-307,0,2025-26
TT000125,1,C,Thursday,5,10:25,11:05,Computer Science,TCH0024,Kabir Das,Room-211,1,2025-26
TT000126,1,C,Thursday,6,11:05,11:45,Science,TCH0041,Vihaan Bhandari,Room-214,0,2025-26
TT000127,1,C,Thursday,7,12:00,12:40,Physical Education,TCH0048,Kavya Sen,Room-101,0,2025-26
TT000128,1,C,Thursday,8,12:40,13:20,Social Studies,TCH0056,Siya Mukherjee,Room-303,0,2025-26
TT000129,1,C,Friday,1,07:30,08:10,Physical Education,TCH0048,Kavya Sen,Room-207,0,2025-26
TT000130,1,C,Friday,2,08:10,08:50,Computer Science,TCH0024,Kabir Das,Room-G06,0,2025-26
TT000131,1,C,Friday,3,08:50,09:30,Computer Science,TCH0041,Vihaan Bhandari,Room-215,0,2025-26
TT000132,1,C,Friday,4,09:45,10:25,Computer Science,TCH0024,Kabir Das,Room-201,1,2025-26
TT000133,1,C,Friday,5,10:25,11:05,Physical Education,TCH0077,Siya Ghosh,Room-104,0,2025-26
TT000134,1,C,Friday,6,11:05,11:45,English,TCH0070,Khushi Sinha,Room-211,0,2025-26
TT000135,1,C,Friday,7,12:00,12:40,Science,TCH0053,Siya Sharma,Room-303,0,2025-26
TT000136,1,C,Friday,8,12:40,13:20,Physical Education,TCH0077,Siya Ghosh,Room-G03,0,2025-26
TT000137,1,C,Saturday,1,07:30,08:10,Hindi,TCH0015,Parth Chatterjee,Room-106,0,2025-26
TT000138,1,C,Saturday,2,08:10,08:50,Hindi,TCH0063,Dhruv Mehta,Room-209,0,2025-26
TT000139,1,C,Saturday,3,08:50,09:30,Hindi,TCH0066,Nikhil Shah,Room-G04,0,2025-26
TT000140,1,C,Saturday,4,09:45,10:25,Computer Science,TCH0024,Kabir Das,Room-311,0,2025-26
TT000141,1,C,Saturday,5,10:25,11:05,Physical Education,TCH0048,Kavya Sen,Room-G05,0,2025-26
TT000142,1,C,Saturday,6,11:05,11:45,Physical Education,TCH0077,Siya Ghosh,Room-212,0,2025-26
TT000143,1,C,Saturday,7,12:00,12:40,Physical Education,TCH0077,Siya Ghosh,Room-G14,0,2025-26
TT000144,1,C,Saturday,8,12:40,13:20,Computer Science,TCH0024,Kabir Das,Room-G11,1,2025-26
TT000145,2,A,Monday,1,07:30,08:10,English,TCH0070,Khushi Sinha,Room-301,0,2025-26
TT000146,2,A,Monday,2,08:10,08:50,Mathematics,TCH0043,Divya Sharma,Room-310,0,2025-26
TT000147,2,A,Monday,3,08:50,09:30,Hindi,TCH0063,Dhruv Mehta,Room-313,0,2025-26
TT000148,2,A,Monday,4,09:45,10:25,Social Studies,TCH0006,Jiya Bhandari,Room-304,0,2025-26
TT000149,2,A,Monday,5,10:25,11:05,Mathematics,TCH0025,Darsh Patel,Room-110,0,2025-26
TT000150,2,A,Monday,6,11:05,11:45,Physical Education,TCH0048,Kavya Sen,Room-308,0,2025-26
TT000151,2,A,Monday,7,12:00,12:40,Social Studies,TCH0036,Kartik Bhat,Room-G11,0,2025-26
TT000152,2,A,Monday,8,12:40,13:20,Science,TCH0080,Angel Mahajan,Room-305,0,2025-26
TT000153,2,A,Tuesday,1,07:30,08:10,Computer Science,TCH0057,Anika Bhosale,Room-203,0,2025-26
TT000154,2,A,Tuesday,2,08:10,08:50,Mathematics,TCH0025,Darsh Patel,Room-210,0,2025-26
TT000155,2,A,Tuesday,3,08:50,09:30,Computer Science,TCH0057,Anika Bhosale,Room-G07,1,2025-26
TT000156,2,A,Tuesday,4,09:45,10:25,Science,TCH0075,Isha Sen,Room-109,0,2025-26
TT000157,2,A,Tuesday,5,10:25,11:05,English,TCH0070,Khushi Sinha,Room-202,0,2025-26
TT000158,2,A,Tuesday,6,11:05,11:45,Mathematics,TCH0025,Darsh Patel,Room-310,0,2025-26
TT000159,2,A,Tuesday,7,12:00,12:40,Social Studies,TCH0006,Jiya Bhandari,Room-213,0,2025-26
TT000160,2,A,Tuesday,8,12:40,13:20,Hindi,TCH0015,Parth Chatterjee,Room-313,0,2025-26
TT000161,2,A,Wednesday,1,07:30,08:10,Science,TCH0009,Diya Shinde,Room-305,0,2025-26
TT000162,2,A,Wednesday,2,08:10,08:50,Mathematics,TCH0043,Divya Sharma,Room-210,0,2025-26
TT000163,2,A,Wednesday,3,08:50,09:30,English,TCH0070,Khushi Sinha,Room-201,0,2025-26
TT000164,2,A,Wednesday,4,09:45,10:25,Mathematics,TCH0043,Divya Sharma,Room-311,0,2025-26
TT000165,2,A,Wednesday,5,10:25,11:05,Mathematics,TCH0025,Darsh Patel,Room-G07,0,2025-26
TT000166,2,A,Wednesday,6,11:05,11:45,Science,TCH0056,Siya Mukherjee,Room-G01,0,2025-26
TT000167,2,A,Wednesday,7,12:00,12:40,Physical Education,TCH0077,Siya Ghosh,Room-308,0,2025-26
TT000168,2,A,Wednesday,8,12:40,13:20,Social Studies,TCH0036,Kartik Bhat,Room-312,0,2025-26
TT000169,2,A,Thursday,1,07:30,08:10,Hindi,TCH0066,Nikhil Shah,Room-G05,0,2025-26
TT000170,2,A,Thursday,2,08:10,08:50,Social Studies,TCH0079,Ishaan Chauhan,Room-312,0,2025-26
TT000171,2,A,Thursday,3,08:50,09:30,Science,TCH0035,Lavanya Jain,Room-302,0,2025-26
TT000172,2,A,Thursday,4,09:45,10:25,Mathematics,TCH0028,Gauri Deshpande,Room-G07,0,2025-26
TT000173,2,A,Thursday,5,10:25,11:05,Hindi,TCH0004,Rohan Sinha,Room-202,0,2025-26
TT000174,2,A,Thursday,6,11:05,11:45,Hindi,TCH0063,Dhruv Mehta,Room-313,0,2025-26
TT000175,2,A,Thursday,7,12:00,12:40,English,TCH0070,Khushi Sinha,Room-215,0,2025-26
TT000176,2,A,Thursday,8,12:40,13:20,Physical Education,TCH0077,Siya Ghosh,Room-313,0,2025-26
TT000177,2,A,Friday,1,07:30,08:10,Computer Science,TCH0057,Anika Bhosale,Room-203,0,2025-26
TT000178,2,A,Friday,2,08:10,08:50,English,TCH0070,Khushi Sinha,Room-202,0,2025-26
TT000179,2,A,Friday,3,08:50,09:30,English,TCH0070,Khushi Sinha,Room-211,0,2025-26
TT000180,2,A,Friday,4,09:45,10:25,Computer Science,TCH0041,Vihaan Bhandari,Room-111,1,2025-26
TT000181,2,A,Friday,5,10:25,11:05,Physical Education,TCH0077,Siya Ghosh,Room-215,0,2025-26
TT000182,2,A,Friday,6,11:05,11:45,Physical Education,TCH0077,Siya Ghosh,Room-215,0,2025-26
TT000183,2,A,Friday,7,12:00,12:40,Science,TCH0028,Gauri Deshpande,Room-G10,0,2025-26
TT000184,2,A,Friday,8,12:40,13:20,Computer Science,TCH0057,Anika Bhosale,Room-207,0,2025-26
TT000185,2,A,Saturday,1,07:30,08:10,Physical Education,TCH0048,Kavya Sen,Room-101,0,2025-26
TT000186,2,A,Saturday,2,08:10,08:50,Science,TCH0005,Aanya Jadhav,Room-204,0,2025-26
TT000187,2,A,Saturday,3,08:50,09:30,Science,TCH0027,Rishi Sinha,Room-307,0,2025-26
TT000188,2,A,Saturday,4,09:45,10:25,Social Studies,TCH0006,Jiya Bhandari,Room-304,0,2025-26
TT000189,2,A,Saturday,5,10:25,11:05,Computer Science,TCH0024,Kabir Das,Room-315,0,2025-26
TT000190,2,A,Saturday,6,11:05,11:45,Hindi,TCH0066,Nikhil Shah,Room-211,0,2025-26
TT000191,2,A,Saturday,7,12:00,12:40,English,TCH0070,Khushi Sinha,Room-205,0,2025-26
TT000192,2,A,Saturday,8,12:40,13:20,Science,TCH0079,Ishaan Chauhan,Room-G15,0,2025-26
TT000193,2,B,Monday,1,07:30,08:10,Mathematics,TCH0028,Gauri Deshpande,Room-204,0,2025-26
TT000194,2,B,Monday,2,08:10,08:50,Social Studies,TCH0079,Ishaan Chauhan,Room-205,0,2025-26
TT000195,2,B,Monday,3,08:50,09:30,Science,TCH0080,Angel Mahajan,Room-204,0,2025-26
TT000196,2,B,Monday,4,09:45,10:25,English,TCH0070,Khushi Sinha,Room-302,0,2025-26
TT000197,2,B,Monday,5,10:25,11:05,Computer Science,TCH0024,Kabir Das,Room-106,0,2025-26
TT000198,2,B,Monday,6,11:05,11:45,Mathematics,TCH0026,Siya Malhotra,Room-101,0,2025-26
TT000199,2,B,Monday,7,12:00,12:40,Social Studies,TCH0006,Jiya Bhandari,Room-G01,0,2025-26
TT000200,2,B,Monday,8,12:40,13:20,Computer Science,TCH0024,Kabir Das,Room-109,0,2025-26
TT000201,2,B,Tuesday,1,07:30,08:10,Social Studies,TCH0036,Kartik Bhat,Room-307,0,2025-26
TT000202,2,B,Tuesday,2,08:10,08:50,Science,TCH0028,Gauri Deshpande,Room-G14,0,2025-26
TT000203,2,B,Tuesday,3,08:50,09:30,Social Studies,TCH0079,Ishaan Chauhan,Room-109,0,2025-26
TT000204,2,B,Tuesday,4,09:45,10:25,Computer Science,TCH0041,Vihaan Bhandari,Room-G12,0,2025-26
TT000205,2,B,Tuesday,5,10:25,11:05,Hindi,TCH0063,Dhruv Mehta,Room-101,0,2025-26
TT000206,2,B,Tuesday,6,11:05,11:45,Computer Science,TCH0024,Kabir Das,Room-G08,0,2025-26
TT000207,2,B,Tuesday,7,12:00,12:40,English,TCH0070,Khushi Sinha,Room-113,0,2025-26
TT000208,2,B,Tuesday,8,12:40,13:20,Social Studies,TCH0079,Ishaan Chauhan,Room-202,0,2025-26
TT000209,2,B,Wednesday,1,07:30,08:10,Physical Education,TCH0048,Kavya Sen,Room-G10,0,2025-26
TT000210,2,B,Wednesday,2,08:10,08:50,Physical Education,TCH0048,Kavya Sen,Room-109,0,2025-26
TT000211,2,B,Wednesday,3,08:50,09:30,Social Studies,TCH0079,Ishaan Chauhan,Room-111,0,2025-26
TT000212,2,B,Wednesday,4,09:45,10:25,Hindi,TCH0063,Dhruv Mehta,Room-G04,0,2025-26
TT000213,2,B,Wednesday,5,10:25,11:05,Computer Science,TCH0057,Anika Bhosale,Room-211,0,2025-26
TT000214,2,B,Wednesday,6,11:05,11:45,Social Studies,TCH0056,Siya Mukherjee,Room-106,0,2025-26
TT000215,2,B,Wednesday,7,12:00,12:40,English,TCH0070,Khushi Sinha,Room-G05,0,2025-26
TT000216,2,B,Wednesday,8,12:40,13:20,Social Studies,TCH0079,Ishaan Chauhan,Room-G06,0,2025-26
TT000217,2,B,Thursday,1,07:30,08:10,Social Studies,TCH0036,Kartik Bhat,Room-303,0,2025-26
TT000218,2,B,Thursday,2,08:10,08:50,Mathematics,TCH0026,Siya Malhotra,Room-206,0,2025-26
TT000219,2,B,Thursday,3,08:50,09:30,Social Studies,TCH0079,Ishaan Chauhan,Room-212,0,2025-26
TT000220,2,B,Thursday,4,09:45,10:25,Computer Science,TCH0041,Vihaan Bhandari,Room-212,0,2025-26
TT000221,2,B,Thursday,5,10:25,11:05,Mathematics,TCH0028,Gauri Deshpande,Room-302,0,2025-26
TT000222,2,B,Thursday,6,11:05,11:45,Social Studies,TCH0079,Ishaan Chauhan,Room-206,0,2025-26
TT000223,2,B,Thursday,7,12:00,12:40,Science,TCH0057,Anika Bhosale,Room-109,0,2025-26
TT000224,2,B,Thursday,8,12:40,13:20,Science,TCH0060,Trisha Pawar,Room-112,0,2025-26
TT000225,2,B,Friday,1,07:30,08:10,Hindi,TCH0004,Rohan Sinha,Room-111,0,2025-26
TT000226,2,B,Friday,2,08:10,08:50,English,TCH0070,Khushi Sinha,Room-103,0,2025-26
TT000227,2,B,Friday,3,08:50,09:30,Social Studies,TCH0079,Ishaan Chauhan,Room-305,0,2025-26
TT000228,2,B,Friday,4,09:45,10:25,Science,TCH0049,Anvi Dubey,Room-G05,0,2025-26
TT000229,2,B,Friday,5,10:25,11:05,English,TCH0070,Khushi Sinha,Room-106,0,2025-26
TT000230,2,B,Friday,6,11:05,11:45,Computer Science,TCH0057,Anika Bhosale,Room-305,1,2025-26
TT000231,2,B,Friday,7,12:00,12:40,Science,TCH0061,Gauri Chauhan,Room-213,0,2025-26
TT000232,2,B,Friday,8,12:40,13:20,Computer Science,TCH0041,Vihaan Bhandari,Room-310,0,2025-26
TT000233,2,B,Saturday,1,07:30,08:10,Hindi,TCH0066,Nikhil Shah,Room-106,0,2025-26
TT000234,2,B,Saturday,2,08:10,08:50,Social Studies,TCH0036,Kartik Bhat,Room-112,0,2025-26
TT000235,2,B,Saturday,3,08:50,09:30,Social Studies,TCH0006,Jiya Bhandari,Room-113,0,2025-26
TT000236,2,B,Saturday,4,09:45,10:25,Science,TCH0066,Nikhil Shah,Room-206,0,2025-26
TT000237,2,B,Saturday,5,10:25,11:05,Social Studies,TCH0036,Kartik Bhat,Room-310,0,2025-26
TT000238,2,B,Saturday,6,11:05,11:45,Hindi,TCH0066,Nikhil Shah,Room-105,0,2025-26
TT000239,2,B,Saturday,7,12:00,12:40,English,TCH0070,Khushi Sinha,Room-G13,0,2025-26
TT000240,2,B,Saturday,8,12:40,13:20,Social Studies,TCH0006,Jiya Bhandari,Room-215,0,2025-26
TT000241,2,C,Monday,1,07:30,08:10,Social Studies,TCH0006,Jiya Bhandari,Room-313,0,2025-26
TT000242,2,C,Monday,2,08:10,08:50,Science,TCH0052,Divya Verma,Room-309,0,2025-26
TT000243,2,C,Monday,3,08:50,09:30,Physical Education,TCH0048,Kavya Sen,Room-313,0,2025-26
TT000244,2,C,Monday,4,09:45,10:25,Hindi,TCH0004,Rohan Sinha,Room-205,0,2025-26
TT000245,2,C,Monday,5,10:25,11:05,Mathematics,TCH0026,Siya Malhotra,Room-104,0,2025-26
TT000246,2,C,Monday,6,11:05,11:45,Physical Education,TCH0077,Siya Ghosh,Room-206,0,2025-26
TT000247,2,C,Monday,7,12:00,12:40,Science,TCH0007,Rudra Thakur,Room-301,0,2025-26
TT000248,2,C,Monday,8,12:40,13:20,Hindi,TCH0063,Dhruv Mehta,Room-G09,0,2025-26
